                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     36,                 1.6944,                 1.0269,                0.89592,                 0.0742,                0.20833,                0.03319,                0.01031,                 2.5272,                 36.094,                 1.0498,              0.0019327,              0.0019327,              0.0019327
                     37,                 2.0128,                 1.1105,                0.91278,                0.10119,                   0.25,                0.05206,                0.01626,                 3.1977,                 17.819,                 1.4403,              0.0019307,              0.0019307,              0.0019307
                     38,                 1.8739,                 1.0541,                0.90811,                0.31983,                  0.125,                0.09298,                0.03164,                 3.4481,                 5.8442,                 1.3588,              0.0019287,              0.0019287,              0.0019287
                     39,                 1.8396,                 1.0841,                0.88853,                0.64051,                0.29167,                0.32627,                0.09901,                 2.6458,                 5.6664,                 1.0703,              0.0019267,              0.0019267,              0.0019267
                     40,                 1.7684,                0.99922,                0.88228,                0.63458,                0.29167,                0.33052,                0.10369,                 2.6698,                 7.4392,                  1.169,              0.0019248,              0.0019248,              0.0019248
                     41,                 1.7145,                0.91544,                0.87988,                0.68762,                0.33333,                0.35843,                0.15107,                 2.4975,                 4.3381,                 1.0963,              0.0019228,              0.0019228,              0.0019228
                     42,                 1.7289,                0.97888,                0.88959,                0.64003,                  0.375,                0.35225,                0.19873,                  1.844,                  4.685,                0.98848,              0.0019208,              0.0019208,              0.0019208
                     43,                 1.6498,                0.99315,                0.86091,                0.82773,                0.29167,                 0.3402,                0.15385,                 2.1994,                   3.32,                 1.1211,              0.0019188,              0.0019188,              0.0019188
                     44,                 1.6708,                0.92904,                0.88093,                0.42697,                0.29167,                0.26691,                 0.1363,                 2.0751,                 2.3878,                 1.0386,              0.0019168,              0.0019168,              0.0019168
                     45,                 1.6667,                0.88721,                0.87011,                0.50744,                0.33333,                0.30441,                 0.1105,                 2.0856,                 2.4023,                0.99076,              0.0019149,              0.0019149,              0.0019149
                     46,                 1.6757,                0.95039,                0.87729,                0.44034,                0.41667,                 0.3571,                0.16463,                 1.8521,                 5.8348,                0.98801,              0.0019129,              0.0019129,              0.0019129
                     47,                  1.651,                0.94909,                0.86578,                0.47266,                0.41667,                0.35404,                0.14261,                 2.0309,                 6.8121,                 1.0517,              0.0019109,              0.0019109,              0.0019109
                     48,                 1.6355,                 0.8966,                0.86744,                0.08787,                0.33333,                0.05633,                0.02355,                 2.2732,                   16.4,                 1.1244,              0.0019089,              0.0019089,              0.0019089
                     49,                 1.5558,                0.87536,                0.85958,                0.35281,                0.29167,                0.25063,                 0.1271,                 2.3064,                 3.4959,                 1.0824,              0.0019069,              0.0019069,              0.0019069
                     50,                 1.6683,                 0.9496,                 0.8702,                 0.3601,                0.29167,                0.23434,                 0.1155,                 2.0775,                  2.109,                 1.0136,               0.001905,               0.001905,               0.001905
                     51,                 1.6091,                0.86163,                0.86619,                0.68755,                0.33333,                0.32324,                0.12937,                 2.2271,                 1.5785,                 1.1284,               0.001903,               0.001903,               0.001903
                     52,                 1.6366,                0.85614,                0.86824,                0.20387,                0.33333,                0.10215,                0.03383,                 2.1346,                 6.2705,                 1.1683,               0.001901,               0.001901,               0.001901
                     53,                 1.6973,                0.88927,                0.87321,                0.06029,                0.29167,                0.03119,                0.00948,                 2.6808,                 25.015,                  1.128,               0.001899,               0.001899,               0.001899
                     54,                 1.6319,                0.85974,                0.87342,                0.07244,                  0.375,                0.05138,                0.02172,                 2.4557,                 12.012,                 1.1526,               0.001897,               0.001897,               0.001897
                     55,                 1.6362,                0.87322,                0.85477,                0.35337,                  0.375,                0.31152,                0.10942,                 2.1585,                 4.1242,                0.97759,              0.0018951,              0.0018951,              0.0018951
                     56,                 1.5277,                0.84062,                0.85526,                0.06433,                   0.25,                0.02408,                0.01187,                 2.1757,                 15.885,                 1.0506,              0.0018931,              0.0018931,              0.0018931
                     57,                 1.5711,                0.85027,                0.85646,                0.65511,                0.31744,                0.37384,                0.14541,                 2.0857,                 2.0831,                 0.9769,              0.0018911,              0.0018911,              0.0018911
                     58,                 1.5817,                 0.8518,                0.86588,                 0.4575,                  0.375,                0.29076,                0.10323,                 2.0927,                 2.4611,                 1.0353,              0.0018891,              0.0018891,              0.0018891
                     59,                 1.5379,                0.87082,                0.85926,                0.10081,                0.29167,                0.05327,                0.02177,                 2.2386,                 25.216,                 1.0649,              0.0018871,              0.0018871,              0.0018871
                     60,                 1.4267,                0.76654,                0.85994,                 0.5638,                0.29167,                0.29286,                0.13473,                 2.3468,                 1.7971,                 1.1087,              0.0018852,              0.0018852,              0.0018852
                     61,                 1.4733,                0.77102,                0.84633,                0.48215,                0.29167,                0.29539,                0.12636,                 2.3113,                  3.092,                 1.0699,              0.0018832,              0.0018832,              0.0018832
                     62,                 1.5872,                0.82103,                0.86112,                0.63689,                0.20833,                0.26454,                0.10562,                 2.1083,                 4.3266,                 1.0575,              0.0018812,              0.0018812,              0.0018812
                     63,                 1.5767,                0.81948,                0.87015,                0.40443,                0.41667,                0.31999,                0.13442,                 2.2162,                 2.9248,                 1.1055,              0.0018792,              0.0018792,              0.0018792
                     64,                 1.5443,                 0.8285,                0.86041,                0.57986,                0.45833,                0.42079,                0.13475,                 2.4074,                 2.4879,                 1.2084,              0.0018772,              0.0018772,              0.0018772
                     65,                 1.6777,                0.86476,                0.85931,                0.57259,                0.41667,                0.39834,                 0.1719,                 2.3324,                 1.2968,                 1.1128,              0.0018753,              0.0018753,              0.0018753
                     66,                 1.5603,                0.78988,                0.85213,                0.63621,                  0.375,                 0.3872,                0.18839,                  2.211,                 2.7586,                 1.0345,              0.0018733,              0.0018733,              0.0018733
                     67,                 1.5636,                0.84172,                0.86075,                0.57128,                   0.25,                0.27177,                0.13769,                 2.2847,                 1.9849,                 1.0554,              0.0018713,              0.0018713,              0.0018713
                     68,                 1.5659,                0.82245,                0.85972,                0.62904,                   0.25,                0.29451,                0.14579,                 1.8993,                 2.7692,                0.97805,              0.0018693,              0.0018693,              0.0018693
                     69,                  1.477,                0.81562,                0.84564,                0.41693,                0.45833,                0.35449,                 0.1767,                 1.9186,                 1.7193,                 1.0001,              0.0018673,              0.0018673,              0.0018673
                     70,                 1.4692,                0.79339,                0.84093,                0.57111,                0.44438,                0.41608,                0.16877,                 2.1484,                 2.2989,                 1.0306,              0.0018654,              0.0018654,              0.0018654
                     71,                 1.4281,                0.72849,                0.84703,                0.43577,                0.48309,                0.39017,                0.15312,                  2.117,                 1.6554,                  0.998,              0.0018634,              0.0018634,              0.0018634
                     72,                 1.4069,                0.72645,                0.84682,                0.47691,                0.41667,                 0.3739,                0.15185,                 2.2346,                 2.0282,                 1.0976,              0.0018614,              0.0018614,              0.0018614
                     73,                 1.4973,                0.71484,                0.83539,                0.61009,                0.39181,                0.38156,                0.18394,                 2.3176,                 1.7176,                 1.1113,              0.0018594,              0.0018594,              0.0018594
                     74,                 1.4449,                0.75888,                0.84097,                0.84845,                0.33333,                0.38014,                 0.1711,                  2.248,                 2.3971,                 1.1485,              0.0018574,              0.0018574,              0.0018574
                     75,                 1.4805,                0.72239,                0.84172,                0.61042,                0.41667,                 0.3842,                0.16599,                 2.2144,                 2.3747,                 1.2222,              0.0018555,              0.0018555,              0.0018555
                     76,                 1.3753,                0.66084,                0.83889,                0.46706,                0.41667,                0.37058,                0.17626,                 2.4424,                 2.5443,                  1.225,              0.0018535,              0.0018535,              0.0018535
                     77,                 1.4924,                0.77898,                0.84342,                0.52017,                0.54167,                 0.4174,                0.20129,                 1.9662,                 1.7545,                0.96745,              0.0018515,              0.0018515,              0.0018515
                     78,                 1.5834,                0.81479,                0.84941,                0.69398,                    0.5,                0.50592,                 0.2348,                 2.1253,                 1.4122,                 1.0264,              0.0018495,              0.0018495,              0.0018495
                     79,                 1.4387,                0.73136,                0.84572,                0.59855,                0.31145,                0.34795,                0.16216,                 2.1842,                  1.824,                 1.0525,              0.0018475,              0.0018475,              0.0018475
                     80,                 1.4827,                0.73623,                 0.8474,                0.68994,                0.37115,                0.43741,                0.21881,                 1.8495,                 1.5881,                  1.021,              0.0018456,              0.0018456,              0.0018456
                     81,                 1.3374,                0.70142,                0.83337,                0.64941,                0.45833,                0.46105,                0.21249,                 2.1277,                 1.6719,                  1.033,              0.0018436,              0.0018436,              0.0018436
                     82,                 1.4332,                0.72992,                0.83964,                0.71077,                   0.25,                0.31031,                0.16332,                 1.9577,                 2.4723,                 1.0514,              0.0018416,              0.0018416,              0.0018416
                     83,                 1.4075,                0.74729,                0.83327,                0.57008,                0.29167,                 0.3521,                0.16498,                 1.8274,                 1.8183,                0.98469,              0.0018396,              0.0018396,              0.0018396
                     84,                 1.4117,                0.76628,                0.83875,                0.75536,                  0.375,                0.43267,                0.21519,                 1.8785,                 1.7579,                0.97282,              0.0018376,              0.0018376,              0.0018376
                     85,                 1.5012,                0.82077,                 0.8477,                0.57405,                0.54167,                0.50754,                0.22972,                 1.8607,                 0.9425,                0.99029,              0.0018357,              0.0018357,              0.0018357
                     86,                 1.3903,                0.69652,                0.82489,                0.58174,                  0.375,                0.38055,                0.17061,                 1.9109,                 1.9615,                0.96971,              0.0018337,              0.0018337,              0.0018337
                     87,                 1.2528,                0.66524,                0.83565,                0.57568,                0.54167,                0.46286,                 0.2255,                 1.6394,                 1.4043,                0.93552,              0.0018317,              0.0018317,              0.0018317
                     88,                 1.3123,                0.67595,                0.82872,                0.59886,                0.49775,                0.49244,                0.23433,                 1.8844,                0.94002,                0.96737,              0.0018297,              0.0018297,              0.0018297
                     89,                 1.3252,                0.67424,                0.83234,                0.55272,                0.41667,                0.40347,                0.21148,                 1.7761,                 2.3389,                0.98095,              0.0018277,              0.0018277,              0.0018277
                     90,                 1.3864,                0.67189,                0.83452,                0.79852,                0.33056,                0.41327,                  0.203,                  1.906,                 2.6126,                 1.0116,              0.0018258,              0.0018258,              0.0018258
                     91,                 1.2949,                0.66247,                0.83305,                0.68925,                0.41667,                0.41043,                0.23764,                 1.7131,                 1.9957,                0.93983,              0.0018238,              0.0018238,              0.0018238
                     92,                 1.3168,                0.69902,                 0.8332,                0.47027,                    0.5,                0.45255,                0.23907,                 1.8396,                 1.4499,                0.97914,              0.0018218,              0.0018218,              0.0018218
                     93,                 1.3281,                0.65516,                0.83371,                0.74702,                0.45833,                0.46769,                0.28484,                 1.5562,                0.98956,                0.93184,              0.0018198,              0.0018198,              0.0018198
                     94,                  1.359,                0.70251,                0.83118,                0.61536,                 0.5336,                0.51281,                0.27419,                 1.6152,                 1.1052,                0.96946,              0.0018178,              0.0018178,              0.0018178
                     95,                 1.3546,                0.68411,                0.82189,                0.72209,                0.45833,                0.47807,                0.24204,                 1.7551,                  2.056,                 1.0071,              0.0018159,              0.0018159,              0.0018159
                     96,                  1.405,                0.71361,                0.81578,                0.68604,                0.54167,                0.49983,                0.28436,                 1.7023,                 1.8127,                0.98492,              0.0018139,              0.0018139,              0.0018139
                     97,                  1.387,                0.72713,                0.83118,                0.55884,                    0.5,                0.45753,                0.26921,                 1.5369,                0.84781,                0.93646,              0.0018119,              0.0018119,              0.0018119
                     98,                 1.3317,                 0.7141,                0.83737,                0.68699,                0.45731,                0.48441,                0.27636,                 1.5089,                 0.8545,                0.91065,              0.0018099,              0.0018099,              0.0018099
                     99,                 1.3529,                0.68277,                0.84066,                0.45037,                0.44425,                0.37745,                0.19822,                 1.6377,                 2.1701,                0.94453,              0.0018079,              0.0018079,              0.0018079
                    100,                 1.4646,                0.69628,                0.84178,                0.68229,                    0.5,                 0.4754,                0.25701,                 1.7359,                 1.7627,                 0.9607,               0.001806,               0.001806,               0.001806
                    101,                 1.2852,                0.65087,                0.81426,                 0.7917,                  0.375,                0.44981,                0.25498,                 1.5406,                 1.6022,                0.94175,               0.001804,               0.001804,               0.001804
                    102,                 1.3279,                0.68839,                0.82821,                0.81637,                0.45833,                0.50284,                0.25579,                 1.6311,                  1.198,                0.92382,               0.001802,               0.001802,               0.001802
                    103,                 1.2801,                0.65373,                0.82598,                0.67622,                0.33333,                0.45962,                0.27331,                 1.5358,                 1.1217,                0.91591,                 0.0018,                 0.0018,                 0.0018
                    104,                   1.32,                0.65682,                0.85439,                0.47451,                0.63991,                0.49038,                0.28165,                 1.3882,                 1.2388,                0.90494,               0.001798,               0.001798,               0.001798
                    105,                 1.3419,                0.68426,                0.84073,                0.55531,                0.33333,                0.36046,                0.20259,                 1.4939,                 1.4943,                0.91531,              0.0017961,              0.0017961,              0.0017961
                    106,                 1.3297,                0.64646,                0.81938,                0.59553,                0.41667,                 0.4386,                0.19698,                  1.648,                 2.2443,                 0.9614,              0.0017941,              0.0017941,              0.0017941
                    107,                 1.2906,                0.64435,                0.82276,                0.47882,                0.45833,                0.43251,                0.23485,                 1.5753,                 1.8732,                0.92244,              0.0017921,              0.0017921,              0.0017921
                    108,                 1.3704,                0.71298,                0.81633,                0.54623,                0.50163,                0.49453,                0.25113,                 1.4771,                 1.1605,                0.91948,              0.0017901,              0.0017901,              0.0017901
                    109,                 1.3641,                0.66959,                0.82378,                0.81177,                0.45833,                0.50806,                0.23346,                 1.6557,                 1.1308,                0.93466,              0.0017881,              0.0017881,              0.0017881
                    110,                 1.3234,                0.67673,                 0.8225,                0.58679,                0.33333,                0.39752,                0.19432,                 1.8828,                 2.0015,                0.95738,              0.0017862,              0.0017862,              0.0017862
                    111,                  1.339,                0.67516,                0.82845,                0.66082,                0.48758,                0.48749,                0.21776,                 1.6988,                 1.0192,                0.93792,              0.0017842,              0.0017842,              0.0017842
                    112,                 1.3384,                0.70107,                0.82727,                0.62407,                  0.375,                0.42714,                0.22465,                 1.6498,                 1.6408,                0.94556,              0.0017822,              0.0017822,              0.0017822
                    113,                 1.2901,                0.65239,                0.83349,                0.75411,                0.41667,                0.47334,                 0.2604,                   1.46,                 1.1641,                0.91877,              0.0017802,              0.0017802,              0.0017802
                    114,                  1.303,                0.63539,                0.82869,                0.67535,                0.33333,                 0.3936,                0.22011,                 1.6897,                 1.7044,                0.94838,              0.0017782,              0.0017782,              0.0017782
                    115,                  1.281,                0.61369,                0.83507,                0.70072,                0.33333,                0.41729,                0.24292,                 1.6037,                 1.2603,                0.94098,              0.0017763,              0.0017763,              0.0017763
                    116,                 1.2917,                0.63703,                0.82525,                0.45028,                0.58333,                0.47615,                0.25248,                 1.7305,                 1.3761,                0.95515,              0.0017743,              0.0017743,              0.0017743
